BusinessYear,StateCode,IssuerId,SourceName,ImportDate,NetworkName,NetworkId,NetworkURL,MarketCoverage,DentalOnlyPlan
2026,FL,74243,HIOS,2025-10-21,Choice PPO,FLN001,https://www.dominionnational.com/find-a-dentist,Individual,Yes
2026,FL,79850,HIOS,2025-10-15,Florida Partnered Care Network,FLN001,https://www.cigna.com/ifp-providers,Individual,No
2026,FL,86382,HIOS,2025-10-15,Value,FLN001,https://www.ambetterhealth.com/en/fl/findadoc,Individual,No
2026,FL,97725,HIOS,2026-07-28,Delta Dental PPO Individual,FLN001,https://www.deltadental.com/us/en/member/find-a-dentist.html,Individual,Yes
2026,FL,97725,HIOS,2026-07-28,Delta Dental PPO SHOP,FLN002,https://www.deltadental.com/us/en/member/find-a-dentist.html,SHOP (Small Group),Yes
2026,FL,97725,HIOS,2026-07-28,DeltaCare Individual,FLN003,https://www.deltadental.com/us/en/member/find-a-dentist.html,Individual,Yes
2026,FL,97725,HIOS,2026-07-28,DeltaCare SHOP,FLN004,https://www.deltadental.com/us/en/member/find-a-dentist.html,SHOP (Small Group),Yes
2026,FL,98869,HIOS,2025-10-15,Premier,FLN001,https://emihealth.com/ProviderSearch,Individual,Yes
2026,FL,98869,HIOS,2025-10-15,Advantage,FLN002,https://emihealth.com/ProviderSearch,Individual,Yes
2026,HI,10046,SERFF,2025-11-10,BEST Life and Health National Network,HIN001,https://www.bestlife.com/Provider_Search/,Individual,Yes
2026,HI,18350,SERFF,2025-10-15,"HMSA Preferred Provider Plan with Vision, Individual",HIN001,https://hmsa.com/search/providers,Individual,No
2026,HI,18350,SERFF,2025-10-15,"HMSA Preferred Provider Plan with Vision, Complementary Care Rider, and Active&Fit, Individual",HIN002,https://hmsa.com/search/providers,Individual,No
2026,HI,18350,SERFF,2025-10-15,"HMSA Preferred Provider Plan with Vision and Active&Fit, Individual",HIN003,https://hmsa.com/search/providers,Individual,No
2026,HI,18350,SERFF,2025-10-15,"HMSA Dental PPO, Individual",HIN004,https://hmsa.com/search/providers,Individual,Yes
2026,HI,18350,SERFF,2025-10-15,"HMSA Dental HMO, Individual",HIN005,https://hmsa.com/search/providers,Individual,Yes
2026,HI,27409,SERFF,2025-12-16,DentalGuard Preferred - Individual,HIN001,https://dentalexchange.guardiandirect.com/find-a-dentist,Individual,Yes
2026,HI,31358,SERFF,2025-10-15,HumanaDental PPO/Traditional Preferred,HIN001,https://www.humana.com/finder/search?customerId=1085&pfpkey=317,Individual,Yes
2026,HI,46082,SERFF,2025-10-15,Hawaii Dental Service,HIN001,https://www.hawaiidentalservice.com/hds/provider-search,Individual,Yes
2026,HI,60612,SERFF,2025-10-15,Network 1,HIN001,https://healthy.kaiserpermanente.org/hawaii/doctors-locations#/simple-form,Individual,No
2026,IA,25896,SERFF,2025-11-04,Wellmark Health Plan of Iowa,IAN001,https://www.wellmark.com/finder-aca,Individual,No
2026,IA,25896,SERFF,2025-11-04,Welmark Health Plan of Iowa - UPH,IAN002,https://www.wellmark.com/finder-aca,Individual,No
2026,IA,45819,SERFF,2026-02-03,Individual Iowa,IAN001,https://www.hioscar.com/search/?networkId=041&year=2026,Individual,No
2026,IA,45819,SERFF,2026-02-03,Individual Iowa Broad,IAN002,https://www.hioscar.com/search/?networkId=072&year=2026,Individual,No
2026,IA,48286,SERFF,2025-10-15,Premier,IAN001,https://www.ambetterhealth.com/en/ia/findadoc,Individual,No
2026,IA,50730,SERFF,2025-10-15,DentalGuard Preferred - Individual,IAN001,https://dentalexchange.guardiandirect.com/find-a-dentist,Individual,Yes
2026,IA,56610,SERFF,2025-10-15,Individual Exchange Benefit Plan Network,IAN011,https://www.uhc.com/xiadocfindoa2026,Individual,No
2026,IA,63366,SERFF,2025-10-15,Delta Dental PPO Plus Premier Network Individual,IAN002,https://www.deltadentalia.com/find-a-provider/dental/,Individual,Yes
2026,IA,71051,SERFF,2025-11-10,BEST Life and Health National Network,IAN001,https://www.bestlife.com/Provider_Search/,Individual,Yes
2026,IA,74980,SERFF,2025-11-25,Avera Health Plans Iowa Network,IAN001,https://www.avera.org/marketplace/provider-directory/,Individual,No
2026,IA,93078,SERFF,2025-10-15,Medica Insure,IAN001,https://www.Medica.com/SearchInsureNetwork-2026,Individual,No
2026,IA,93078,SERFF,2025-10-15,Inspire by Medica,IAN003,https://www.Medica.com/SearchInspireNetwork-2026,Individual,No
2026,IA,93078,SERFF,2025-10-15,Medica with CHI Health,IAN004,https://www.Medica.com/SearchCHINetwork-2026,Individual,No
2026,IA,93078,SERFF,2025-10-15,Elevate by Medica,IAN005,https://www.Medica.com/SearchElevateNetwork-2026,Individual,No
2026,IN,16845,HIOS,2025-10-15,Choice PPO,INN001,https://www.dominionnational.com/find-a-dentist,Individual,Yes
2026,IN,17575,HIOS,2025-10-28,Anthem Essential and Pharmacy Base Network,INN004,https://www.anthem.com/find-care/?alphaprefix=EUM,Individual,No
2026,IN,17575,HIOS,2025-10-28,"Anthem Essential, Dental Prime, and Rx Choice Tiered Network",INN005,https://www.anthem.com/find-care/?alphaprefix=E7E,Individual,No
2026,IN,17575,HIOS,2025-10-28,Dental Prime,INN007,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?planstate=IN&plantype=DENTAL&planname=Dental+Prime,Individual,Yes
2026,IN,17575,HIOS,2025-10-28,Anthem Essential and Rx Choice Tiered Network,INN010,https://www.anthem.com/find-care/?alphaprefix=EUM,Individual,No
2026,IN,28856,HIOS,2026-03-31,Delta Dental Individual,INN001,https://www.deltadental.com/member/find-a-dentist/,Individual,Yes
2026,IN,28856,HIOS,2026-03-31,Delta Dental Group,INN002,https://www.deltadental.com/member/find-a-dentist/,SHOP (Small Group),Yes
2026,IN,33086,HIOS,2026-05-12,Indiana HRI Network,INN001,https://portal.insuringsmiles.com/findadentist,Individual,Yes
